lon,lat,elev,denominazione,luogo,provincia
"10,4011111111111","43,7844444444444",37,FALESIA DI VECCHIANO,Vecchiano,PI
"10,8177777777778","43,8680555555556",92,FALESIA DI MONSUMMANO,Monsummano,PT
"11,5511111111111","43,7",1039,FALESIA DI MASSANERA,Reggello,FI
"10,3011111111111","43,965",758,FALESIA DI SAN ROCCHINO,Camaiore,LU
"10,3011111111111","43,9569444444444",241,FALESIA CONCHIUSORI,Greppolungo,LU
"11,6344444444444","42,8986111111111",1102,FALESIA CATARCHIONE AMIATA,Abbadia San Salvatore,SI
"11,6344444444444","42,8991666666667",1186,FALESIA HOLLYWOOD AMIATA,Abbadia San Salvatore,SI
"11,1844444444444","43,3080555555556",586,FALESIA DI CELSA,Sovicille,SI
"10,3511111111111","44,0513888888889",1017,FALESIA LE ROCCHETTE,Molazzana,LU
"10,3844444444444","44,0408333333333",305,FALESIA DI TROMBACCO,Vergemoli,LU
"11,0844444444444","43,0336111111111",751,FALESIA SASSOFORTINO,Roccastrada,GR
"10,9344444444444","43,0458333333333",319,FALESIA POGGIO AL MONTONE,Massa Marittima,GR
"10,9011111111111","42,9147222222222",380,FALESIA DI RAVI MONTE CALVO,Gavorrano,GR
